word,total_score,appeared_times,averange_score
万达,124,39,3.1795
办法,127,39,3.2564
眼前一亮,123,39,3.1538
状态,128,39,3.2821
突破,123,39,3.1538
肤浅,110,39,2.8205
剧作,116,39,2.9744
生气,106,39,2.7179
做成,123,39,3.1538
废话,108,39,2.7692
缺乏,104,39,2.6667
一大,131,39,3.359
贡献,98,39,2.5128
消失,122,39,3.1282
循环,128,39,3.2821
开车,129,39,3.3077
凡人,122,38,3.2105
破坏,128,38,3.3684
跟着,127,38,3.3421
考虑,117,38,3.0789
战胜,133,38,3.5
美漫,129,38,3.3947
变异,120,38,3.1579
享受,145,38,3.8158
诞生,122,38,3.2105
悬念,121,38,3.1842
过分,126,38,3.3158
过渡,113,38,2.9737
胃口,135,38,3.5526
体现,125,38,3.2895
起源,126,38,3.3158
恐怖,121,38,3.1842
级别,114,38,3
遇到,116,38,3.0526
生物,112,38,2.9474
绚烂,133,38,3.5
担当,130,38,3.4211
诠释,128,37,3.4595
紧张,124,37,3.3514
机器,124,37,3.3514
流行,123,37,3.3243
喜歡,121,37,3.2703
高度,127,37,3.4324
炫目,121,37,3.2703
安排,123,37,3.3243
接近,124,37,3.3514
温柔,128,37,3.4595
太短,121,37,3.2703
开挂,124,37,3.3514
本质,106,37,2.8649
后续,126,37,3.4054
归来,144,37,3.8919
怀念,111,37,3
音效,115,37,3.1081
传说,119,37,3.2162
档次,125,37,3.3784
说服力,107,37,2.8919
通篇,99,37,2.6757
天神,118,37,3.1892
融入,125,37,3.3784
反倒,122,37,3.2973
变大,110,37,2.973
小虫,143,37,3.8649
美国式,113,36,3.1389
时刻,121,36,3.3611
堪称,129,36,3.5833
星球大战,111,36,3.0833
进入,121,36,3.3611
打算,109,36,3.0278
点儿,106,36,2.9444
愿意,121,36,3.3611
能够,124,36,3.4444
合体,118,36,3.2778
接下来,129,36,3.5833
浩克,119,36,3.3056
啰嗦,90,36,2.5
看似,102,36,2.8333
卡司,118,36,3.2778
露脸,119,36,3.3056
槽点,113,36,3.1389
情绪,108,36,3
宣传,105,36,2.9167
聪明,111,35,3.1714
迎合,93,35,2.6571
自由,115,35,3.2857
进去,92,35,2.6286
影子,116,35,3.3143
兴奋,102,35,2.9143
娱乐片,117,35,3.3429
打分,112,35,3.2
漏洞,100,35,2.8571
角度,109,35,3.1143
视听,114,35,3.2571
反感,95,35,2.7143
玩具,114,35,3.2571
爆笑,131,35,3.7429
贯穿,128,35,3.6571
友情,127,35,3.6286
支持,120,35,3.4286
灵魂,111,35,3.1714
年度,126,35,3.6
画风,108,35,3.0857
养父,128,35,3.6571
立体,113,34,3.3235
男朋友,117,34,3.4412
演绎,108,34,3.1765
穿着,110,34,3.2353
萝卜,130,34,3.8235
气氛,107,34,3.1471
插入,104,34,3.0588
疯狂,114,34,3.3529
真人,110,34,3.2353
带来,121,34,3.5588
学习,114,34,3.3529
装逼,93,34,2.7353
看腻,87,34,2.5588
胖子,100,34,2.9412
新颖,111,34,3.2647
很烂,77,34,2.2647
制服,106,34,3.1176
海报,113,34,3.3235
产品,95,34,2.7941
气息,111,34,3.2647
对抗,105,34,3.0882
属性,128,34,3.7647
复杂,115,34,3.3824
老梗,99,34,2.9118
正派,111,34,3.2647
眼泪,132,34,3.8824
邪教,92,34,2.7059
恶趣味,114,34,3.3529
想看,101,34,2.9706
过家家,86,34,2.5294
恐惧症,108,34,3.1765
宿主,100,34,2.9412
臭屁,109,33,3.303
惊人,113,33,3.4242
补课,101,33,3.0606
差距,106,33,3.2121
看一遍,114,33,3.4545
介绍,103,33,3.1212
不该,89,33,2.697
领域,116,33,3.5152
幽默感,119,33,3.6061
乐趣,113,33,3.4242
凑合,95,33,2.8788
光头,107,33,3.2424
奇葩,96,33,2.9091
作用,101,33,3.0606
女生,120,33,3.6364
不好意思,88,33,2.6667
扭曲,105,33,3.1818
责任,112,33,3.3939
哥们,107,33,3.2424
太美,129,33,3.9091
集结,112,33,3.3939
担心,129,33,3.9091
萌到,129,33,3.9091
你好,122,33,3.697
换成,97,33,2.9394
养眼,101,33,3.0606
处处,97,33,2.9394
长镜头,120,33,3.6364
摄影,105,33,3.1818
弑父,109,33,3.303
接地,118,33,3.5758
撕逼,103,33,3.1212
邻家,125,33,3.7879
产生,95,32,2.9688
好好看,113,32,3.5312
前作,111,32,3.4688
糖泥,104,32,3.25
超能,105,32,3.2812
佩服,114,32,3.5625
不愧,117,32,3.6562
还给,100,32,3.125
有时候,105,32,3.2812
记住,84,32,2.625
集合,106,32,3.3125
巨大,100,32,3.125
激烈,104,32,3.25
火爆,114,32,3.5625
保持,101,32,3.1562
混战,115,32,3.5938
思想,89,32,2.7812
儿戏,83,32,2.5938
大人,104,32,3.25
温情,117,32,3.6562
这年头,102,32,3.1875
出乎意料,137,32,4.2812
附身,101,32,3.1562
披风,116,32,3.625
炸裂,116,32,3.625
儿童,89,32,2.7812
内讧,97,32,3.0312
人格,108,31,3.4839
土豪,114,31,3.6774
亮眼,94,31,3.0323
经不起,90,31,2.9032
想着,105,31,3.3871
秒杀,98,31,3.1613
真不知道,72,31,2.3226
不靠,96,31,3.0968
